2022-05-11 19:25:08,977 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":86170,"stack":375}
2022-05-11 19:25:08,981 | root | INFO | Got Msg: {"id":"Radio","msg":"stats","level":8,"tick":86172,"rx_success":0,"rx_failure":1,"tx_success":0,"tx_failure":0,"freq":433.551,"bw":125,"sf":12,"cr":8,"pwr":22,"stack":375}
2022-05-11 19:26:16,762 | root | INFO | GUI started, opening serial port COM8
2022-05-11 19:27:23,064 | root | INFO | Got Msg: {"id":"Radio","msg":"Preamble","level":32,"tick":219770,"stack":351}
2022-05-11 19:27:24,119 | root | INFO | Got Msg: {"id":"Radio","msg":"Missed Header","level":4,"tick":220819,"stack":351}
2022-05-11 19:27:24,121 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":220819,"stack":351}
2022-05-11 19:27:24,124 | root | INFO | Got Msg: {"id":"Radio","msg":"stats","level":8,"tick":220821,"rx_success":0,"rx_failure":7,"tx_success":0,"tx_failure":0,"freq":433.551,"bw":125,"sf":12,"cr":8,"pwr":22,"stack":351}
2022-05-11 19:27:29,242 | root | INFO | Got Msg: {"id":"Radio","msg":"Preamble","level":32,"tick":225936,"stack":351}
2022-05-11 19:27:30,308 | root | INFO | Got Msg: {"id":"Radio","msg":"Missed Header","level":4,"tick":226984,"stack":351}
2022-05-11 19:27:30,310 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":226984,"stack":351}
2022-05-11 19:27:46,709 | root | INFO | Got Msg: {"id":"Radio","msg":"Preamble","level":32,"tick":243331,"stack":351}
2022-05-11 19:27:47,765 | root | INFO | Got Msg: {"id":"Radio","msg":"Missed Header","level":4,"tick":244379,"stack":351}
2022-05-11 19:27:47,767 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":244379,"stack":351}
2022-05-11 19:27:47,770 | root | INFO | Got Msg: {"id":"Radio","msg":"stats","level":8,"tick":244381,"rx_success":0,"rx_failure":9,"tx_success":0,"tx_failure":0,"freq":433.551,"bw":125,"sf":12,"cr":8,"pwr":22,"stack":351}
2022-05-11 19:28:02,436 | root | INFO | Got Msg: {"id":"Radio","msg":"Preamble","level":32,"tick":258997,"stack":351}
2022-05-11 19:28:03,486 | root | INFO | Got Msg: {"id":"Radio","msg":"Missed Header","level":4,"tick":260046,"stack":351}
2022-05-11 19:28:03,488 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":260046,"stack":351}
2022-05-11 19:28:03,492 | root | INFO | Got Msg: {"id":"Radio","msg":"stats","level":8,"tick":260048,"rx_success":0,"rx_failure":10,"tx_success":0,"tx_failure":0,"freq":433.551,"bw":125,"sf":12,"cr":8,"pwr":22,"stack":351}
2022-05-11 19:28:11,052 | root | INFO | Got Msg: {"id":"Radio","msg":"Preamble","level":32,"tick":267578,"stack":351}
2022-05-11 19:28:12,093 | root | INFO | Got Msg: {"id":"Radio","msg":"Missed Header","level":4,"tick":268626,"stack":351}
2022-05-11 19:28:12,095 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":268626,"stack":351}
2022-05-11 19:28:21,823 | root | INFO | Got Msg: {"id":"Radio","msg":"Preamble","level":32,"tick":278314,"stack":351}
2022-05-11 19:28:22,872 | root | INFO | Got Msg: {"id":"Radio","msg":"Missed Header","level":4,"tick":279363,"stack":351}
2022-05-11 19:28:22,874 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":279363,"stack":351}
