2022-04-17 10:20:13,392 | root | INFO | Decoded Telem: {'pyroB': False, 'pyroA': False, 'gps_alt': -0.0, 'lon': -120.0, 'lat': 30.0, 'gps_lock': False, 'filter_vel': -20.0, 'filter_alt': 555.0, 'armed': False, 'state': 0, 'battery': 3.39, 'time': 722}
2022-04-17 10:20:13,403 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":716738,"stack":258}
2022-04-17 10:20:14,794 | root | INFO | Got Msg: {"id":"Radio","msg":"Preamble","level":32,"tick":718147,"stack":258}
2022-04-17 10:20:15,376 | root | INFO | Got Msg: {"id":"Radio","msg":"wait RxDone","level":32,"tick":718729,"stack":258}
2022-04-17 10:20:16,167 | root | INFO | Got Msg: {"id":"Radio","msg":"RxDone","level":32,"tick":719516,"stack":258}
2022-04-17 10:20:16,188 | root | INFO | Got Msg: {"id":"Radio","msg":"RX","level":16,"tick":719525,"rssi":-90,"snr":5.25,"len":14,"data":"VQugB8mH9QEAAAAADAM=","stack":258}
2022-04-17 10:20:16,188 | root | INFO | Decoded Telem: {'pyroB': False, 'pyroA': False, 'gps_alt': -0.0, 'lon': -120.0, 'lat': 30.0, 'gps_lock': False, 'filter_vel': -20.0, 'filter_alt': 555.0, 'armed': False, 'state': 0, 'battery': 3.39, 'time': 725}
2022-04-17 10:20:16,188 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":719526,"stack":258}
2022-04-17 10:20:17,579 | root | INFO | Got Msg: {"id":"Radio","msg":"Preamble","level":32,"tick":720935,"stack":258}
2022-04-17 10:20:18,166 | root | INFO | Got Msg: {"id":"Radio","msg":"wait RxDone","level":32,"tick":721517,"stack":258}
2022-04-17 10:20:18,953 | root | INFO | Got Msg: {"id":"Radio","msg":"RxDone","level":32,"tick":722304,"stack":258}
2022-04-17 10:20:18,953 | root | INFO | Got Msg: {"id":"Radio","msg":"RX","level":16,"tick":722313,"rssi":-90,"snr":5.5,"len":14,"data":"XQugB8mH9QEAAAAADAM=","stack":258}
2022-04-17 10:20:18,953 | root | INFO | Decoded Telem: {'pyroB': False, 'pyroA': False, 'gps_alt': -0.0, 'lon': -120.0, 'lat': 30.0, 'gps_lock': False, 'filter_vel': -20.0, 'filter_alt': 555.0, 'armed': False, 'state': 0, 'battery': 3.39, 'time': 727}
2022-04-17 10:20:18,953 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":722314,"stack":258}
2022-04-17 10:20:20,365 | root | INFO | Got Msg: {"id":"Radio","msg":"Preamble","level":32,"tick":723723,"stack":258}
2022-04-17 10:20:20,944 | root | INFO | Got Msg: {"id":"Radio","msg":"wait RxDone","level":32,"tick":724303,"stack":258}
2022-04-17 10:20:21,741 | root | INFO | Got Msg: {"id":"Radio","msg":"RxDone","level":32,"tick":725090,"stack":258}
2022-04-17 10:20:21,755 | root | INFO | Got Msg: {"id":"Radio","msg":"RX","level":16,"tick":725099,"rssi":-90,"snr":5.5,"len":14,"data":"aQugB8kH9gEAAAAADAM=","stack":258}
2022-04-17 10:20:21,755 | root | INFO | Decoded Telem: {'pyroB': False, 'pyroA': False, 'gps_alt': -0.0, 'lon': -120.0, 'lat': 30.0, 'gps_lock': False, 'filter_vel': -19.1, 'filter_alt': 555.0, 'armed': False, 'state': 0, 'battery': 3.39, 'time': 730}
2022-04-17 10:20:21,767 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":725100,"stack":258}
2022-04-17 10:20:21,781 | root | INFO | Got Msg: {"id":"Radio","msg":"stats","level":8,"tick":725102,"rx_success":230,"rx_failure":36,"tx_success":0,"tx_failure":0,"freq":433.551,"bw":125,"sf":12,"cr":8,"pwr":22,"stack":258}
2022-04-17 10:20:23,155 | root | INFO | Got Msg: {"id":"Radio","msg":"Preamble","level":32,"tick":726509,"stack":258}
2022-04-17 10:20:23,739 | root | INFO | Got Msg: {"id":"Radio","msg":"wait RxDone","level":32,"tick":727092,"stack":258}
2022-04-17 10:20:24,523 | root | INFO | Got Msg: {"id":"Radio","msg":"RxDone","level":32,"tick":727879,"stack":258}
2022-04-17 10:20:24,523 | root | INFO | Got Msg: {"id":"Radio","msg":"RX","level":16,"tick":727889,"rssi":-89,"snr":5.25,"len":14,"data":"dQugB8mH9QEAAAAADAM=","stack":258}
2022-04-17 10:20:24,523 | root | INFO | Decoded Telem: {'pyroB': False, 'pyroA': False, 'gps_alt': -0.0, 'lon': -120.0, 'lat': 30.0, 'gps_lock': False, 'filter_vel': -20.0, 'filter_alt': 555.0, 'armed': False, 'state': 0, 'battery': 3.39, 'time': 733}
2022-04-17 10:20:24,536 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":727889,"stack":258}
2022-04-17 10:20:25,941 | root | INFO | Got Msg: {"id":"Radio","msg":"Preamble","level":32,"tick":729298,"stack":258}
2022-04-17 10:20:26,527 | root | INFO | Got Msg: {"id":"Radio","msg":"wait RxDone","level":32,"tick":729880,"stack":258}
2022-04-17 10:20:27,304 | root | INFO | Got Msg: {"id":"Radio","msg":"RxDone","level":32,"tick":730667,"stack":258}
2022-04-17 10:20:27,317 | root | INFO | Got Msg: {"id":"Radio","msg":"RX","level":16,"tick":730677,"rssi":-90,"snr":5.5,"len":14,"data":"gQugB8kH9gEAAAAADAM=","stack":258}
2022-04-17 10:20:27,327 | root | INFO | Decoded Telem: {'pyroB': False, 'pyroA': False, 'gps_alt': -0.0, 'lon': -120.0, 'lat': 30.0, 'gps_lock': False, 'filter_vel': -19.1, 'filter_alt': 555.0, 'armed': False, 'state': 0, 'battery': 3.39, 'time': 736}
2022-04-17 10:20:27,331 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":730678,"stack":258}
2022-04-17 10:20:28,725 | root | INFO | Got Msg: {"id":"Radio","msg":"Preamble","level":32,"tick":732087,"stack":258}
2022-04-17 10:20:29,299 | root | INFO | Got Msg: {"id":"Radio","msg":"wait RxDone","level":32,"tick":732666,"stack":258}
2022-04-17 10:20:30,092 | root | INFO | Got Msg: {"id":"Radio","msg":"RxDone","level":32,"tick":733453,"stack":258}
2022-04-17 10:20:30,112 | root | INFO | Got Msg: {"id":"Radio","msg":"RX","level":16,"tick":733463,"rssi":-89,"snr":5.25,"len":14,"data":"jQugB8kH9gEAAAAADAM=","stack":258}
2022-04-17 10:20:30,113 | root | INFO | Decoded Telem: {'pyroB': False, 'pyroA': False, 'gps_alt': -0.0, 'lon': -120.0, 'lat': 30.0, 'gps_lock': False, 'filter_vel': -19.1, 'filter_alt': 555.0, 'armed': False, 'state': 0, 'battery': 3.39, 'time': 739}
2022-04-17 10:20:30,127 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":733463,"stack":258}
2022-04-17 10:20:31,506 | root | INFO | Got Msg: {"id":"Radio","msg":"Preamble","level":32,"tick":734872,"stack":258}
2022-04-17 10:20:32,095 | root | INFO | Got Msg: {"id":"Radio","msg":"wait RxDone","level":32,"tick":735454,"stack":258}
2022-04-17 10:20:32,875 | root | INFO | Got Msg: {"id":"Radio","msg":"RxDone","level":32,"tick":736241,"stack":258}
2022-04-17 10:20:32,891 | root | INFO | Got Msg: {"id":"Radio","msg":"RX","level":16,"tick":736251,"rssi":-97,"snr":5,"len":14,"data":"lQugB8mH9QEAAAAADAM=","stack":258}
2022-04-17 10:20:32,891 | root | INFO | Decoded Telem: {'pyroB': False, 'pyroA': False, 'gps_alt': -0.0, 'lon': -120.0, 'lat': 30.0, 'gps_lock': False, 'filter_vel': -20.0, 'filter_alt': 555.0, 'armed': False, 'state': 0, 'battery': 3.39, 'time': 741}
2022-04-17 10:20:32,903 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":736251,"stack":258}
2022-04-17 10:20:34,296 | root | INFO | Got Msg: {"id":"Radio","msg":"Preamble","level":32,"tick":737660,"stack":258}
2022-04-17 10:20:34,873 | root | INFO | Got Msg: {"id":"Radio","msg":"wait RxDone","level":32,"tick":738243,"stack":258}
2022-04-17 10:20:35,669 | root | INFO | Got Msg: {"id":"Radio","msg":"RxDone","level":32,"tick":739030,"stack":258}
2022-04-17 10:20:35,679 | root | INFO | Got Msg: {"id":"Radio","msg":"RX","level":16,"tick":739040,"rssi":-99,"snr":4,"len":14,"data":"oQugB8kH9gEAAAAADAM=","stack":258}
2022-04-17 10:20:35,689 | root | INFO | Decoded Telem: {'pyroB': False, 'pyroA': False, 'gps_alt': -0.0, 'lon': -120.0, 'lat': 30.0, 'gps_lock': False, 'filter_vel': -19.1, 'filter_alt': 555.0, 'armed': False, 'state': 0, 'battery': 3.39, 'time': 744}
2022-04-17 10:20:35,701 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":739040,"stack":258}
2022-04-17 10:20:36,165 | root | INFO | Got Msg: {"id":"Radio","msg":"Preamble","level":32,"tick":739532,"stack":258}
2022-04-17 10:20:37,075 | root | INFO | Got Msg: {"id":"Radio","msg":"Missed RxDone","level":4,"tick":740445,"stack":258}
2022-04-17 10:20:37,085 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":740445,"stack":258}
2022-04-17 10:20:37,096 | root | INFO | Got Msg: {"id":"Radio","msg":"stats","level":8,"tick":740448,"rx_success":235,"rx_failure":37,"tx_success":0,"tx_failure":0,"freq":433.551,"bw":125,"sf":12,"cr":8,"pwr":22,"stack":258}
2022-04-17 10:20:37,686 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":741031,"stack":258}
2022-04-17 10:20:38,450 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":741818,"stack":258}
2022-04-17 10:20:39,873 | root | INFO | Got Msg: {"id":"Radio","msg":"Preamble","level":32,"tick":743235,"stack":258}
2022-04-17 10:20:40,456 | root | INFO | Got Msg: {"id":"Radio","msg":"wait RxDone","level":32,"tick":743818,"stack":258}
2022-04-17 10:20:41,237 | root | INFO | Got Msg: {"id":"Radio","msg":"RxDone","level":32,"tick":744605,"stack":258}
2022-04-17 10:20:41,266 | root | INFO | Got Msg: {"id":"Radio","msg":"RX","level":16,"tick":744615,"rssi":-94,"snr":5,"len":14,"data":"uQuwB8mH9U0cUQ0cFAQ=","stack":258}
2022-04-17 10:20:41,266 | root | INFO | Decoded Telem: {'pyroB': False, 'pyroA': False, 'gps_alt': 676.0, 'lon': -117.80845, 'lat': 35.34704, 'gps_lock': True, 'filter_vel': -20.0, 'filter_alt': 555.0, 'armed': False, 'state': 0, 'battery': 3.41, 'time': 750}
2022-04-17 10:20:41,281 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":744615,"stack":258}
2022-04-17 10:20:42,621 | root | INFO | Got Msg: {"id":"Radio","msg":"Preamble","level":32,"tick":745992,"stack":258}
2022-04-17 10:20:43,229 | root | INFO | Got Msg: {"id":"Radio","msg":"wait RxDone","level":32,"tick":746605,"stack":258}
2022-04-17 10:20:44,018 | root | INFO | Got Msg: {"id":"Radio","msg":"RxDone","level":32,"tick":747392,"stack":258}
2022-04-17 10:20:44,044 | root | INFO | Got Msg: {"id":"Radio","msg":"RX","level":16,"tick":747402,"rssi":-91,"snr":5.5,"len":14,"data":"wQugB8kH9k0cUQ2cEgQ=","stack":258}
2022-04-17 10:20:44,044 | root | INFO | Decoded Telem: {'pyroB': False, 'pyroA': False, 'gps_alt': 673.0, 'lon': -117.80845, 'lat': 35.34704, 'gps_lock': True, 'filter_vel': -19.1, 'filter_alt': 555.0, 'armed': False, 'state': 0, 'battery': 3.39, 'time': 752}
2022-04-17 10:20:44,051 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":747402,"stack":258}
2022-04-17 10:20:45,442 | root | INFO | Got Msg: {"id":"Radio","msg":"Preamble","level":32,"tick":748812,"stack":258}
2022-04-17 10:20:46,028 | root | INFO | Got Msg: {"id":"Radio","msg":"wait RxDone","level":32,"tick":749391,"stack":258}
2022-04-17 10:20:46,809 | root | INFO | Got Msg: {"id":"Radio","msg":"RxDone","level":32,"tick":750178,"stack":258}
2022-04-17 10:20:46,823 | root | INFO | Got Msg: {"id":"Radio","msg":"RX","level":16,"tick":750187,"rssi":-91,"snr":5.25,"len":14,"data":"zQugB8kH9k0cUQ2cEgQ=","stack":258}
2022-04-17 10:20:46,823 | root | INFO | Decoded Telem: {'pyroB': False, 'pyroA': False, 'gps_alt': 673.0, 'lon': -117.80845, 'lat': 35.34704, 'gps_lock': True, 'filter_vel': -19.1, 'filter_alt': 555.0, 'armed': False, 'state': 0, 'battery': 3.39, 'time': 755}
2022-04-17 10:20:46,842 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":750188,"stack":258}
2022-04-17 10:20:48,240 | root | INFO | Got Msg: {"id":"Radio","msg":"Preamble","level":32,"tick":751598,"stack":258}
2022-04-17 10:20:48,808 | root | INFO | Got Msg: {"id":"Radio","msg":"wait RxDone","level":32,"tick":752179,"stack":258}
2022-04-17 10:20:49,592 | root | INFO | Got Msg: {"id":"Radio","msg":"RxDone","level":32,"tick":752966,"stack":258}
2022-04-17 10:20:49,607 | root | INFO | Got Msg: {"id":"Radio","msg":"RX","level":16,"tick":752975,"rssi":-91,"snr":5.25,"len":14,"data":"2QugB8kH9k0cUQ0cEgQ=","stack":258}
2022-04-17 10:20:49,607 | root | INFO | Decoded Telem: {'pyroB': False, 'pyroA': False, 'gps_alt': 671.0, 'lon': -117.80845, 'lat': 35.34704, 'gps_lock': True, 'filter_vel': -19.1, 'filter_alt': 555.0, 'armed': False, 'state': 0, 'battery': 3.39, 'time': 758}
2022-04-17 10:20:49,631 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":752976,"stack":258}
2022-04-17 10:20:51,010 | root | INFO | Got Msg: {"id":"Radio","msg":"Preamble","level":32,"tick":754385,"stack":258}
2022-04-17 10:20:51,597 | root | INFO | Got Msg: {"id":"Radio","msg":"wait RxDone","level":32,"tick":754967,"stack":258}
2022-04-17 10:20:52,377 | root | INFO | Got Msg: {"id":"Radio","msg":"RxDone","level":32,"tick":755754,"stack":258}
2022-04-17 10:20:52,392 | root | INFO | Got Msg: {"id":"Radio","msg":"RX","level":16,"tick":755763,"rssi":-91,"snr":5.25,"len":14,"data":"5QugB8mH9U0cMQ0cEgQ=","stack":258}
2022-04-17 10:20:52,392 | root | INFO | Decoded Telem: {'pyroB': False, 'pyroA': False, 'gps_alt': 671.0, 'lon': -117.80849, 'lat': 35.34704, 'gps_lock': True, 'filter_vel': -20.0, 'filter_alt': 555.0, 'armed': False, 'state': 0, 'battery': 3.39, 'time': 761}
2022-04-17 10:20:52,402 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":755764,"stack":258}
2022-04-17 10:20:52,413 | root | INFO | Got Msg: {"id":"Radio","msg":"stats","level":8,"tick":755766,"rx_success":240,"rx_failure":37,"tx_success":0,"tx_failure":0,"freq":433.551,"bw":125,"sf":12,"cr":8,"pwr":22,"stack":258}
2022-04-17 10:20:53,791 | root | INFO | Got Msg: {"id":"Radio","msg":"Preamble","level":32,"tick":757173,"stack":258}
2022-04-17 10:20:54,382 | root | INFO | Got Msg: {"id":"Radio","msg":"wait RxDone","level":32,"tick":757753,"stack":258}
2022-04-17 10:20:55,166 | root | INFO | Got Msg: {"id":"Radio","msg":"RxDone","level":32,"tick":758540,"stack":258}
2022-04-17 10:20:55,166 | root | INFO | Got Msg: {"id":"Radio","msg":"RX","level":16,"tick":758550,"rssi":-92,"snr":5.25,"len":14,"data":"7QugB8kH9k0cUQ0cEgQ=","stack":258}
2022-04-17 10:20:55,171 | root | INFO | Decoded Telem: {'pyroB': False, 'pyroA': False, 'gps_alt': 671.0, 'lon': -117.80845, 'lat': 35.34704, 'gps_lock': True, 'filter_vel': -19.1, 'filter_alt': 555.0, 'armed': False, 'state': 0, 'battery': 3.39, 'time': 763}
